date,sales
2013年1月,3023
2013年2月,3039
2013年3月,3056
2013年4月,3138
2013年5月,3188
2013年6月,3224
2013年7月,3226
2013年8月,3029
2013年9月,2859
2013年10月,2870
2013年11月,2910
2013年12月,3012
2014年1月,3142
2014年2月,3252
2014年3月,3342
2014年4月,3365
2014年5月,3339
2014年6月,3345
2014年7月,3421
2014年8月,3443
2014年9月,3428
2014年10月,3554
2014年11月,3615
2014年12月,3646
2015年1月,3614
2015年2月,3574
2015年3月,3635
2015年4月,3738
2015年5月,3707
2015年6月,3827
2015年7月,4039
2015年8月,4210
2015年9月,4493
2015年10月,4560
2015年11月,4637
2015年12月,4755
2016年1月,4817
