number,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,original_c,original_i,original_o,stander_c,stander_i,stander_o,total
10001,3,4,2,3,1,2,2,2,1,4,1,3,3,2,3,1,1,2,3,4,3,3,3,4,4,2,1,1,4,9,14,16,3,7,8,39
10003,2,4,3,3,3,2,4,4,1,1,4,5,2,3,2,3,1,2,2,2,3,1,3,4,3,3,1,2,2,12,9,13,5,2,7,34
10005,2,5,5,3,3,2,3,5,3,2,1,5,1,3,4,2,2,2,3,2,1,4,4,2,2,1,2,3,2,12,9,14,5,2,7,35
10006,3,4,2,3,3,2,3,5,2,2,1,2,2,3,2,2,2,1,2,3,3,2,3,2,2,2,3,4,2,13,9,17,5,2,9,39
10007,2,4,2,4,3,5,2,3,3,4,3,3,4,3,3,3,1,1,3,3,3,1,3,2,3,2,3,3,4,11,10,15,4,5,8,36
10008,5,6,5,5,3,5,3,3,2,1,5,3,5,4,3,4,2,1,2,3,1,1,2,4,4,3,1,3,3,13,9,12,5,2,6,34
10010,2,4,5,4,3,4,2,3,2,5,1,2,3,3,2,3,1,4,2,3,3,1,2,2,2,3,1,1,1,11,16,12,4,8,6,39
10011,3,1,3,2,1,1,5,3,2,5,1,3,5,2,2,4,1,3,2,2,3,4,2,2,3,2,5,1,2,10,12,13,4,6,7,35
10012,2,4,2,3,3,3,2,2,2,5,2,2,5,2,2,4,1,3,2,2,3,3,2,2,3,2,5,1,2,11,8,12,4,3,6,31
10013,5,4,5,4,3,5,3,4,2,1,4,4,4,2,3,2,2,2,2,3,1,2,3,2,3,3,1,1,3,13,8,12,5,3,6,33
10014,3,4,2,4,3,4,2,2,1,5,1,2,4,3,2,4,4,1,2,3,1,3,3,2,4,2,1,1,3,13,5,16,5,1,8,34
10015,2,4,1,4,3,5,3,1,2,5,4,5,4,2,3,3,2,2,2,3,3,2,2,4,3,2,2,1,2,17,6,4,7,2,2,27
10018,1,4,2,3,3,3,5,2,1,4,2,2,2,3,2,3,5,5,2,2,1,1,1,2,1,1,4,1,2,19,8,6,8,3,3,33
10020,5,1,3,3,3,2,3,2,1,1,4,5,5,2,2,4,4,2,2,5,3,4,1,1,1,3,1,2,2,17,10,14,7,5,7,41
10021,2,4,4,4,3,5,3,2,2,3,4,2,2,3,2,4,2,3,2,4,2,3,2,3,2,3,1,2,3,13,11,13,5,5,7,37
10023,2,4,4,4,2,5,3,2,1,5,4,2,2,2,2,4,1,1,2,2,2,3,3,2,2,2,2,1,3,13,7,13,5,3,7,33
10024,2,4,2,4,3,5,3,2,2,5,5,2,2,3,2,2,3,1,2,2,1,1,2,2,2,2,2,3,2,16,5,12,6,1,6,33
10025,3,4,5,5,3,5,3,3,2,5,1,1,4,3,2,4,2,4,2,3,3,2,2,3,3,4,1,1,2,16,7,13,6,3,7,36
10027,3,4,4,4,3,5,4,3,2,3,1,2,2,4,1,3,2,4,5,3,3,3,3,4,2,4,1,1,3,13,10,13,5,5,7,36
10028,2,4,3,4,3,5,3,2,4,3,3,2,4,3,2,4,2,3,2,2,3,3,2,2,2,1,3,2,3,11,10,13,4,5,7,34
10029,3,1,3,4,3,5,2,3,3,5,3,5,4,4,3,4,2,2,5,3,3,3,3,4,4,2,1,3,2,16,6,12,6,2,6,34
10030,2,4,4,3,3,2,2,2,2,2,1,5,3,2,3,3,3,4,3,3,3,2,2,3,3,2,2,1,3,13,9,12,5,2,6,34
10031,2,4,4,3,3,2,2,2,2,2,3,5,4,2,3,3,4,5,3,3,3,2,2,4,2,2,2,1,3,13,10,12,5,5,6,35
10032,2,4,4,3,3,2,2,2,3,2,3,5,4,3,3,3,4,3,3,3,3,2,2,3,3,2,2,1,3,13,10,12,5,5,6,35
10033,2,4,4,3,3,2,2,2,3,2,3,5,4,3,3,3,4,3,3,3,3,2,2,3,3,2,2,1,3,13,9,11,5,2,6,33
10035,2,4,3,4,3,5,3,2,2,2,4,4,4,4,3,5,4,5,3,3,1,1,3,4,3,2,2,1,5,14,4,7,6,1,4,25
10036,2,4,4,3,3,3,2,2,2,2,4,4,4,4,3,5,4,5,3,3,1,1,3,4,3,2,2,1,5,11,10,10,4,5,5,31
10037,2,4,2,4,3,4,3,2,2,4,4,4,4,4,3,3,1,1,3,5,3,2,2,3,3,3,2,1,3,11,15,17,4,8,9,43
10038,2,4,4,4,3,2,2,2,1,2,3,5,4,2,3,4,4,4,3,3,3,3,3,4,3,2,2,1,3,13,6,14,5,2,7,33
10042,1,3,3,3,3,3,3,2,2,5,3,5,5,2,3,3,1,1,1,5,3,1,2,4,2,4,1,3,3,16,6,11,6,2,6,33
10043,2,4,1,4,3,4,2,2,2,5,3,5,4,4,3,4,2,3,2,5,3,2,3,5,3,2,1,3,2,10,5,12,4,1,6,27
10044,3,4,3,3,4,3,2,2,4,5,4,5,5,4,4,3,2,3,3,5,3,3,2,1,2,2,2,1,1,11,8,8,4,3,4,27
10045,2,4,5,4,3,4,3,2,1,4,3,5,4,3,3,1,5,1,2,5,1,2,1,5,5,4,1,1,2,13,9,17,5,2,9,39
10046,1,4,2,4,3,5,3,2,2,5,1,4,5,4,3,4,5,1,2,5,1,2,3,2,3,4,1,3,3,10,12,13,4,6,7,35
10047,3,4,2,5,3,4,3,3,2,5,3,2,5,3,2,4,2,5,2,5,1,1,2,4,4,2,5,4,2,17,8,5,7,3,3,30
10048,1,3,3,4,3,5,4,2,1,4,3,5,5,3,2,3,3,1,2,3,3,1,3,2,3,4,1,3,3,18,8,6,7,3,3,32
